index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
1144,face,medium,png,100,photojournalist shot,direct flash,digital zoom pixelation,as if shared on WhatsApp with compression,Southeast Asian,,middle-aged,man,conference stage,extreme close-up,,"A photojournalist shot of a middle-aged Southeast Asian man in conference stage, with direct flash, digital zoom pixelation, extreme close-up, as if shared on WhatsApp with compression"
1145,face,high,png,100,photo with heavy beauty filter,dramatic side lighting,slight motion blur,,Southern European,,young,woman,home interior,,,"A photo with heavy beauty filter of a young Southern European woman in home interior, with dramatic side lighting, slight motion blur"
1146,scene,medium,webp,66,drone aerial photo,dappled shade under trees,inconsistent shadows,as if saved from a YouTube video at 480p,,,,,,,a family gathering around a table,"A drone aerial photo of a family gathering around a table, with dappled shade under trees, inconsistent shadows, as if saved from a YouTube video at 480p"
1147,scene,high,webp,72,mirrorless camera photo,tungsten indoor lighting with warm cast,lens distortion,,,,,,,,a gym with people exercising,"A mirrorless camera photo of a gym with people exercising, with tungsten indoor lighting with warm cast, lens distortion"
1148,nature,high,webp,39,infrared camera image,blue hour twilight,overexposed highlights,as if shared on Twitter with reduced resolution,,,,,,,a northern lights aurora over a snowy field,"A infrared camera image of a northern lights aurora over a snowy field, with blue hour twilight, overexposed highlights, as if shared on Twitter with reduced resolution"
1149,face,medium,jpeg,77,panoramic photo,screen-lit in a dark room,slight motion blur,as if forwarded on Telegram multiple times,West African,,elderly,woman,home interior,,,"A panoramic photo of a elderly West African woman in home interior, with screen-lit in a dark room, slight motion blur, as if forwarded on Telegram multiple times"
1150,face,high,png,100,school yearbook photo,blue hour twilight,inconsistent shadows,as if downloaded from Instagram,North African,,middle-aged,man,parking garage,multiple faces overlapping,,"A school yearbook photo of a middle-aged North African man in parking garage, with blue hour twilight, inconsistent shadows, multiple faces overlapping, as if downloaded from Instagram"
1151,face,high,png,100,helmet-mounted camera capture,direct flash,heavy noise or grain,as if shared on Twitter with reduced resolution,West African,,middle-aged,man,hospital corridor,face mid-expression with motion blur,,"A helmet-mounted camera capture of a middle-aged West African man in hospital corridor, with direct flash, heavy noise or grain, face mid-expression with motion blur, as if shared on Twitter with reduced resolution"
1152,nature,low,png,100,black and white film photo,soft natural daylight,slight motion blur,,,,,,,,a stack of old photographs,"A black and white film photo of a stack of old photographs, with soft natural daylight, slight motion blur"
1153,nature,medium,jpeg,53,smartphone photo,harsh overhead fluorescent lighting,digital zoom pixelation,as if shared on Twitter with reduced resolution,,,,,,,a subway station tunnel with graffiti,"A smartphone photo of a subway station tunnel with graffiti, with harsh overhead fluorescent lighting, digital zoom pixelation, as if shared on Twitter with reduced resolution"
1154,face,high,png,100,screen recording or screenshot,nighttime artificial lighting,lens distortion,as if saved from a YouTube video at 480p,North African,very dark skin,young,woman,construction site,,,"A screen recording or screenshot of a young North African woman with very dark skin in construction site, with nighttime artificial lighting, lens distortion, as if saved from a YouTube video at 480p"
1155,face,medium,png,100,employee badge photo,direct flash,heavy noise or grain,,West African,,elderly,woman,busy street,face partially in shadow,,"A employee badge photo of a elderly West African woman in busy street, with direct flash, heavy noise or grain, face partially in shadow"
1156,scene,medium,png,100,low quality compressed webcam image,screen-lit in a dark room,digital zoom pixelation,as if saved from a YouTube video at 480p,,,,,,,a music festival crowd at night,"A low quality compressed webcam image of a music festival crowd at night, with screen-lit in a dark room, digital zoom pixelation, as if saved from a YouTube video at 480p"
1157,nature,medium,jpeg,49,underwater camera photo,backlit with rim lighting,color banding,,,,,,,,a canyon with red rock formations,"A underwater camera photo of a canyon with red rock formations, with backlit with rim lighting, color banding"
1158,nature,medium,png,100,GoPro wide-angle action shot,harsh overhead fluorescent lighting,heavy noise or grain,,,,,,,,a bird perched on a fence,"A GoPro wide-angle action shot of a bird perched on a fence, with harsh overhead fluorescent lighting, heavy noise or grain"
1159,face,high,jpeg,94,LinkedIn headshot,dramatic side lighting,color banding,as if saved from a YouTube video at 480p,Afro-Caribbean,,young,person,home interior,,,"A LinkedIn headshot of a young Afro-Caribbean person in home interior, with dramatic side lighting, color banding, as if saved from a YouTube video at 480p"
1160,scene,low,png,100,scanned printed photograph,harsh overhead fluorescent lighting,inconsistent shadows,,,,,,,,a library reading room with students,"A scanned printed photograph of a library reading room with students, with harsh overhead fluorescent lighting, inconsistent shadows"
1161,face,low,png,100,photo with Instagram-style filter applied,soft natural daylight,,,East Asian,,young,person,grocery store aisle,face very small in frame,,"A photo with Instagram-style filter applied of a young East Asian person in grocery store aisle, with soft natural daylight, face very small in frame"
1162,face,low,jpeg,81,point-and-shoot digital camera photo,golden hour sunlight,,as if screenshotted from TikTok,East Asian,dark brown skin,young,person,government building,,,"A point-and-shoot digital camera photo of a young East Asian person with dark brown skin in government building, with golden hour sunlight, as if screenshotted from TikTok"
1163,scene,medium,webp,65,black and white film photo,dramatic side lighting,,,,,,,,,a beach with people,"A black and white film photo of a beach with people, with dramatic side lighting"
1164,face,high,jpeg,36,school yearbook photo,screen-lit in a dark room,,,Northern European,,middle-aged,woman,dimly lit room,face through glass,,"A school yearbook photo of a middle-aged Northern European woman in dimly lit room, with screen-lit in a dark room, face through glass"
1165,face,low,webp,34,photojournalist shot,screen-lit in a dark room,,,Northern European,,young,man,outdoor park,,,"A photojournalist shot of a young Northern European man in outdoor park, with screen-lit in a dark room"
1166,scene,low,jpeg,34,photo taken of a TV screen,harsh overhead fluorescent lighting,color banding,,,,,,,,a sports stadium crowd,"A photo taken of a TV screen of a sports stadium crowd, with harsh overhead fluorescent lighting, color banding"
1167,face,low,png,100,paparazzi-style telephoto shot,direct flash,,,Pacific Islander,dark brown skin,young,woman,plain studio background,face through glass,,"A paparazzi-style telephoto shot of a young Pacific Islander woman with dark brown skin in plain studio background, with direct flash, face through glass"
1168,face,high,webp,90,photo of a screen showing another image,blue hour twilight,heavy noise or grain,,Southern European,,young,man,stairwell,face partially in shadow,,"A photo of a screen showing another image of a young Southern European man in stairwell, with blue hour twilight, heavy noise or grain, face partially in shadow"
1169,face,low,png,100,LinkedIn headshot,flat overcast daylight,,as if shared on Twitter with reduced resolution,Central Asian,brown skin,young,woman,home interior,face on a screen within the image,,"A LinkedIn headshot of a young Central Asian woman with brown skin in home interior, with flat overcast daylight, face on a screen within the image, as if shared on Twitter with reduced resolution"
1170,nature,low,png,100,dashcam footage,dramatic side lighting,overexposed highlights,,,,,,,,a dog sitting on a front porch,"A dashcam footage of a dog sitting on a front porch, with dramatic side lighting, overexposed highlights"
1171,face,low,jpeg,89,documentary-style photo,blue hour twilight,digital zoom pixelation,as if saved from a YouTube video at 480p,African American,,elderly,woman,office environment,face very small in frame,,"A documentary-style photo of a elderly African American woman in office environment, with blue hour twilight, digital zoom pixelation, face very small in frame, as if saved from a YouTube video at 480p"
1172,nature,medium,webp,95,screen recording or screenshot,candlelight,overexposed highlights,,,,,,,,a printed newspaper front page,"A screen recording or screenshot of a printed newspaper front page, with candlelight, overexposed highlights"
1173,face,high,png,100,large format film photo,mixed indoor-outdoor lighting,heavy noise or grain,as if forwarded on Telegram multiple times,East Asian,very light skin,elderly,woman,hospital corridor,,,"A large format film photo of a elderly East Asian woman with very light skin in hospital corridor, with mixed indoor-outdoor lighting, heavy noise or grain, as if forwarded on Telegram multiple times"
1174,scene,low,png,100,large format film photo,backlit with rim lighting,heavy noise or grain,,,,,,,,a busy city intersection,"A large format film photo of a busy city intersection, with backlit with rim lighting, heavy noise or grain"
1175,nature,high,png,100,black and white film photo,very low ambient light,digital zoom pixelation,,,,,,,,an ocean coastline with waves crashing on rocks,"A black and white film photo of an ocean coastline with waves crashing on rocks, with very low ambient light, digital zoom pixelation"
1176,nature,high,png,100,street photography shot,blue hour twilight,,,,,,,,,a desert landscape with sand dunes,"A street photography shot of a desert landscape with sand dunes, with blue hour twilight"
1177,scene,high,webp,90,panoramic photo,mixed indoor-outdoor lighting,,as if shared on WhatsApp with compression,,,,,,,a restaurant interior with diners,"A panoramic photo of a restaurant interior with diners, with mixed indoor-outdoor lighting, as if shared on WhatsApp with compression"
1178,face,high,png,100,low quality compressed webcam image,candlelight,,as if downloaded from Instagram,Northern European,,middle-aged,woman,cafe or restaurant,wearing sunglasses,,"A low quality compressed webcam image of a middle-aged Northern European woman in cafe or restaurant, with candlelight, wearing sunglasses, as if downloaded from Instagram"
1179,scene,high,png,100,parking lot surveillance camera footage,harsh overhead fluorescent lighting,heavy noise or grain,as if shared on WhatsApp with compression,,,,,,,a press conference with reporters,"A parking lot surveillance camera footage of a press conference with reporters, with harsh overhead fluorescent lighting, heavy noise or grain, as if shared on WhatsApp with compression"
1180,face,high,jpeg,44,night vision camera image,screen-lit in a dark room,digital zoom pixelation,as if downloaded from Instagram,Pacific Islander,,middle-aged,man,bedroom,,,"A night vision camera image of a middle-aged Pacific Islander man in bedroom, with screen-lit in a dark room, digital zoom pixelation, as if downloaded from Instagram"
1181,face,medium,png,100,night vision camera image,neon lighting,lens distortion,as if forwarded on Telegram multiple times,Eastern European,,young,man,busy street,,,"A night vision camera image of a young Eastern European man in busy street, with neon lighting, lens distortion, as if forwarded on Telegram multiple times"
1182,face,high,webp,78,employee badge photo,neon lighting,heavy JPEG compression artifacts,as if screenshotted from TikTok,Pacific Islander,,middle-aged,man,elevator,,,"A employee badge photo of a middle-aged Pacific Islander man in elevator, with neon lighting, heavy JPEG compression artifacts, as if screenshotted from TikTok"
1183,nature,low,png,100,old flip phone camera photo,neon lighting,heavy JPEG compression artifacts,,,,,,,,a river winding through a valley,"A old flip phone camera photo of a river winding through a valley, with neon lighting, heavy JPEG compression artifacts"
1184,face,high,jpeg,90,smartphone photo,tungsten indoor lighting with warm cast,,,Pacific Islander,dark brown skin,elderly,woman,conference stage,,,"A smartphone photo of a elderly Pacific Islander woman with dark brown skin in conference stage, with tungsten indoor lighting with warm cast"
1185,scene,high,webp,64,photo with Instagram-style filter applied,flat overcast daylight,lens distortion,,,,,,,,a classroom full of students,"A photo with Instagram-style filter applied of a classroom full of students, with flat overcast daylight, lens distortion"
1186,face,high,png,100,smartphone photo,flat overcast daylight,,,Southern European,olive skin,elderly,person,conference stage,,,"A smartphone photo of a elderly Southern European person with olive skin in conference stage, with flat overcast daylight"
1187,face,high,webp,83,infrared camera image,blue hour twilight,,as if forwarded on Telegram multiple times,African American,dark brown skin,young,woman,plain studio background,face mid-expression with motion blur,,"A infrared camera image of a young African American woman with dark brown skin in plain studio background, with blue hour twilight, face mid-expression with motion blur, as if forwarded on Telegram multiple times"
1188,nature,medium,png,100,smartphone photo,nighttime artificial lighting,heavy JPEG compression artifacts,,,,,,,,a close-up of a handwritten letter on aged paper,"A smartphone photo of a close-up of a handwritten letter on aged paper, with nighttime artificial lighting, heavy JPEG compression artifacts"
1189,face,medium,png,100,dating app profile photo,nighttime artificial lighting,heavy noise or grain,,North African,medium skin,young,man,government building,,,"A dating app profile photo of a young North African man with medium skin in government building, with nighttime artificial lighting, heavy noise or grain"
1190,face,medium,jpeg,38,portrait mode photo with artificial bokeh,harsh overhead fluorescent lighting,heavy JPEG compression artifacts,,Latino,,elderly,person,office environment,face at sharp angle,,"A portrait mode photo with artificial bokeh of a elderly Latino person in office environment, with harsh overhead fluorescent lighting, heavy JPEG compression artifacts, face at sharp angle"
1191,face,high,webp,71,school yearbook photo,golden hour sunlight,lens distortion,as if forwarded on Telegram multiple times,East Asian,,elderly,person,grocery store aisle,face partially in shadow,,"A school yearbook photo of a elderly East Asian person in grocery store aisle, with golden hour sunlight, lens distortion, face partially in shadow, as if forwarded on Telegram multiple times"
1192,face,high,jpeg,56,medical clinical photo,backlit with rim lighting,slight motion blur,,Central Asian,very light skin,middle-aged,woman,parking garage,face at sharp angle,,"A medical clinical photo of a middle-aged Central Asian woman with very light skin in parking garage, with backlit with rim lighting, slight motion blur, face at sharp angle"
1193,face,medium,webp,66,early 2000s digital camera photo,candlelight,,,Pacific Islander,,elderly,person,parking garage,,,"A early 2000s digital camera photo of a elderly Pacific Islander person in parking garage, with candlelight"
1194,scene,medium,webp,35,smartphone photo,very low ambient light,overexposed highlights,,,,,,,,an outdoor cafe with patrons,"A smartphone photo of an outdoor cafe with patrons, with very low ambient light, overexposed highlights"
1195,face,high,png,100,selfie,harsh overhead fluorescent lighting,heavy noise or grain,,Pacific Islander,,elderly,person,hospital corridor,multiple faces overlapping,,"A selfie of a elderly Pacific Islander person in hospital corridor, with harsh overhead fluorescent lighting, heavy noise or grain, multiple faces overlapping"
1196,scene,low,webp,81,large format film photo,very low ambient light,heavy JPEG compression artifacts,,,,,,,,a crowded market street,"A large format film photo of a crowded market street, with very low ambient light, heavy JPEG compression artifacts"
1197,face,low,webp,94,infrared camera image,soft natural daylight,color banding,,Latino,very dark skin,elderly,man,bathroom mirror,,,"A infrared camera image of a elderly Latino man with very dark skin in bathroom mirror, with soft natural daylight, color banding"
1198,face,high,png,100,medium format film photo,blue hour twilight,,as if downloaded from Instagram,Pacific Islander,,elderly,woman,home interior,face reflected in mirror,,"A medium format film photo of a elderly Pacific Islander woman in home interior, with blue hour twilight, face reflected in mirror, as if downloaded from Instagram"
1199,scene,low,jpeg,44,low quality compressed webcam image,backlit with rim lighting,overexposed highlights,as if saved from a YouTube video at 480p,,,,,,,a street market with vendors and shoppers,"A low quality compressed webcam image of a street market with vendors and shoppers, with backlit with rim lighting, overexposed highlights, as if saved from a YouTube video at 480p"
1200,scene,high,webp,80,product photography on white background,dramatic side lighting,,as if screenshotted from TikTok,,,,,,,children playing in a schoolyard,"A product photography on white background of children playing in a schoolyard, with dramatic side lighting, as if screenshotted from TikTok"
1201,face,high,png,100,night vision camera image,candlelight,,,Afro-Caribbean,light skin,elderly,person,rooftop with skyline,face mid-expression with motion blur,,"A night vision camera image of a elderly Afro-Caribbean person with light skin in rooftop with skyline, with candlelight, face mid-expression with motion blur"
1202,nature,medium,png,100,candid photo taken from a distance,mixed indoor-outdoor lighting,,,,,,,,,a billboard advertisement on a highway,"A candid photo taken from a distance of a billboard advertisement on a highway, with mixed indoor-outdoor lighting"
1203,face,low,webp,69,scanned printed photograph,blue hour twilight,,,Southern European,dark brown skin,middle-aged,woman,rooftop with skyline,extreme close-up,,"A scanned printed photograph of a middle-aged Southern European woman with dark brown skin in rooftop with skyline, with blue hour twilight, extreme close-up"
1204,scene,high,png,100,infrared camera image,backlit with rim lighting,color banding,as if saved from a YouTube video at 480p,,,,,,,people walking through a shopping mall,"A infrared camera image of people walking through a shopping mall, with backlit with rim lighting, color banding, as if saved from a YouTube video at 480p"
1205,nature,medium,png,100,photojournalist shot,mixed indoor-outdoor lighting,heavy noise or grain,,,,,,,,a car parked on a suburban street,"A photojournalist shot of a car parked on a suburban street, with mixed indoor-outdoor lighting, heavy noise or grain"
1206,face,medium,jpeg,64,scanned printed photograph,very low ambient light,slight motion blur,,Latino,olive skin,young,person,cafe or restaurant,,,"A scanned printed photograph of a young Latino person with olive skin in cafe or restaurant, with very low ambient light, slight motion blur"
1207,face,high,png,100,candid photo taken from a distance,screen-lit in a dark room,slight motion blur,,Afro-Caribbean,light skin,elderly,woman,hospital corridor,face reflected in mirror,,"A candid photo taken from a distance of a elderly Afro-Caribbean woman with light skin in hospital corridor, with screen-lit in a dark room, slight motion blur, face reflected in mirror"
1208,face,low,png,100,tablet camera photo,mixed indoor-outdoor lighting,,,Central Asian,light skin,middle-aged,woman,gym or fitness center,multiple faces overlapping,,"A tablet camera photo of a middle-aged Central Asian woman with light skin in gym or fitness center, with mixed indoor-outdoor lighting, multiple faces overlapping"
1209,nature,low,webp,48,dashcam footage,dramatic side lighting,slight motion blur,as if forwarded on Telegram multiple times,,,,,,,a desert landscape with sand dunes,"A dashcam footage of a desert landscape with sand dunes, with dramatic side lighting, slight motion blur, as if forwarded on Telegram multiple times"
1210,face,low,jpeg,73,school yearbook photo,soft natural daylight,overexposed highlights,,Southern European,light skin,young,woman,stairwell,wearing sunglasses,,"A school yearbook photo of a young Southern European woman with light skin in stairwell, with soft natural daylight, overexposed highlights, wearing sunglasses"
1211,face,medium,png,100,LinkedIn headshot,dramatic side lighting,overexposed highlights,,Central Asian,,middle-aged,woman,stairwell,face partially in shadow,,"A LinkedIn headshot of a middle-aged Central Asian woman in stairwell, with dramatic side lighting, overexposed highlights, face partially in shadow"
1212,face,high,webp,46,medical clinical photo,harsh overhead fluorescent lighting,digital zoom pixelation,,Southeast Asian,,young,man,hospital corridor,,,"A medical clinical photo of a young Southeast Asian man in hospital corridor, with harsh overhead fluorescent lighting, digital zoom pixelation"
1213,scene,high,jpeg,64,disposable camera photo,soft natural daylight,,as if shared on Twitter with reduced resolution,,,,,,,a classroom full of students,"A disposable camera photo of a classroom full of students, with soft natural daylight, as if shared on Twitter with reduced resolution"
1214,scene,high,jpeg,61,tablet camera photo,golden hour sunlight,,,,,,,,,a barbershop with customers waiting,"A tablet camera photo of a barbershop with customers waiting, with golden hour sunlight"
1215,face,low,png,100,old flip phone camera photo,neon lighting,digital zoom pixelation,,West African,,young,person,home interior,face mid-expression with motion blur,,"A old flip phone camera photo of a young West African person in home interior, with neon lighting, digital zoom pixelation, face mid-expression with motion blur"
1216,face,medium,png,100,passport photo or ID headshot,soft natural daylight,slight motion blur,as if shared on Twitter with reduced resolution,Southern European,,young,person,cafe or restaurant,,,"A passport photo or ID headshot of a young Southern European person in cafe or restaurant, with soft natural daylight, slight motion blur, as if shared on Twitter with reduced resolution"
1217,face,low,png,100,webcam image from a video call,dramatic side lighting,,as if screenshotted from TikTok,South Asian,dark brown skin,elderly,woman,rooftop with skyline,,,"A webcam image from a video call of a elderly South Asian woman with dark brown skin in rooftop with skyline, with dramatic side lighting, as if screenshotted from TikTok"
1218,scene,low,jpeg,44,old flip phone camera photo,very low ambient light,overexposed highlights,as if forwarded on Telegram multiple times,,,,,,,a church congregation during service,"A old flip phone camera photo of a church congregation during service, with very low ambient light, overexposed highlights, as if forwarded on Telegram multiple times"
1219,face,low,jpeg,99,HDR photo with tone-mapped highlights,neon lighting,slight motion blur,,North African,,young,person,elevator,face partially in shadow,,"A HDR photo with tone-mapped highlights of a young North African person in elevator, with neon lighting, slight motion blur, face partially in shadow"
1220,scene,medium,webp,57,street photography shot,blue hour twilight,slight motion blur,,,,,,,,a graduation ceremony audience,"A street photography shot of a graduation ceremony audience, with blue hour twilight, slight motion blur"
1221,nature,medium,webp,85,DSLR photo,very low ambient light,heavy JPEG compression artifacts,,,,,,,,a colorful row of townhouses,"A DSLR photo of a colorful row of townhouses, with very low ambient light, heavy JPEG compression artifacts"
1222,scene,low,jpeg,52,night vision camera image,tungsten indoor lighting with warm cast,slight motion blur,,,,,,,,a family gathering around a table,"A night vision camera image of a family gathering around a table, with tungsten indoor lighting with warm cast, slight motion blur"
1223,face,medium,png,100,low quality compressed webcam image,blue hour twilight,overexposed highlights,,Southeast Asian,,middle-aged,man,grocery store aisle,face on a screen within the image,,"A low quality compressed webcam image of a middle-aged Southeast Asian man in grocery store aisle, with blue hour twilight, overexposed highlights, face on a screen within the image"
1224,face,high,png,100,passport photo or ID headshot,golden hour sunlight,inconsistent shadows,,Central Asian,olive skin,elderly,person,gym or fitness center,,,"A passport photo or ID headshot of a elderly Central Asian person with olive skin in gym or fitness center, with golden hour sunlight, inconsistent shadows"
1225,face,low,png,100,dating app profile photo,soft natural daylight,,as if shared on WhatsApp with compression,South Asian,,young,person,office environment,,,"A dating app profile photo of a young South Asian person in office environment, with soft natural daylight, as if shared on WhatsApp with compression"
1226,face,low,png,100,photo with Instagram-style filter applied,dappled shade under trees,,as if shared on WhatsApp with compression,Central Asian,,elderly,man,gym or fitness center,,,"A photo with Instagram-style filter applied of a elderly Central Asian man in gym or fitness center, with dappled shade under trees, as if shared on WhatsApp with compression"
1227,face,medium,webp,58,helmet-mounted camera capture,mixed indoor-outdoor lighting,color banding,,Eastern European,very light skin,middle-aged,woman,outdoor park,face mid-expression with motion blur,,"A helmet-mounted camera capture of a middle-aged Eastern European woman with very light skin in outdoor park, with mixed indoor-outdoor lighting, color banding, face mid-expression with motion blur"
1228,face,medium,jpeg,72,documentary-style photo,soft natural daylight,overexposed highlights,as if screenshotted from TikTok,East African,,young,woman,plain studio background,face very small in frame,,"A documentary-style photo of a young East African woman in plain studio background, with soft natural daylight, overexposed highlights, face very small in frame, as if screenshotted from TikTok"
1229,scene,low,webp,80,low quality compressed webcam image,screen-lit in a dark room,chromatic aberration,as if screenshotted from TikTok,,,,,,,a wedding reception,"A low quality compressed webcam image of a wedding reception, with screen-lit in a dark room, chromatic aberration, as if screenshotted from TikTok"
1230,face,low,jpeg,87,HDR photo with tone-mapped highlights,candlelight,heavy noise or grain,as if shared on WhatsApp with compression,East African,very dark skin,young,person,cafe or restaurant,,,"A HDR photo with tone-mapped highlights of a young East African person with very dark skin in cafe or restaurant, with candlelight, heavy noise or grain, as if shared on WhatsApp with compression"
1231,nature,low,jpeg,54,scanned printed photograph,blue hour twilight,,as if downloaded from Instagram,,,,,,,a modern glass skyscraper reflecting clouds,"A scanned printed photograph of a modern glass skyscraper reflecting clouds, with blue hour twilight, as if downloaded from Instagram"
1232,face,high,png,100,passport photo or ID headshot,golden hour sunlight,heavy noise or grain,as if saved from a YouTube video at 480p,Indigenous,very dark skin,middle-aged,person,construction site,,,"A passport photo or ID headshot of a middle-aged Indigenous person with very dark skin in construction site, with golden hour sunlight, heavy noise or grain, as if saved from a YouTube video at 480p"
1233,nature,medium,png,100,photo with Instagram-style filter applied,backlit with rim lighting,lens distortion,,,,,,,,an old European cathedral exterior,"A photo with Instagram-style filter applied of an old European cathedral exterior, with backlit with rim lighting, lens distortion"
1234,face,low,png,100,point-and-shoot digital camera photo,golden hour sunlight,chromatic aberration,,Indigenous,light skin,young,person,rooftop with skyline,multiple faces overlapping,,"A point-and-shoot digital camera photo of a young Indigenous person with light skin in rooftop with skyline, with golden hour sunlight, chromatic aberration, multiple faces overlapping"
1235,face,high,png,100,school yearbook photo,tungsten indoor lighting with warm cast,chromatic aberration,,Southeast Asian,,elderly,person,busy street,,,"A school yearbook photo of a elderly Southeast Asian person in busy street, with tungsten indoor lighting with warm cast, chromatic aberration"
1236,nature,low,jpeg,87,screen recording or screenshot,backlit with rim lighting,heavy JPEG compression artifacts,,,,,,,,a horse standing in a pasture,"A screen recording or screenshot of a horse standing in a pasture, with backlit with rim lighting, heavy JPEG compression artifacts"
1237,face,low,jpeg,85,candid photo taken from a distance,harsh overhead fluorescent lighting,,,East Asian,olive skin,young,man,conference stage,face mid-expression with motion blur,,"A candid photo taken from a distance of a young East Asian man with olive skin in conference stage, with harsh overhead fluorescent lighting, face mid-expression with motion blur"
1238,nature,medium,jpeg,88,parking lot surveillance camera footage,dappled shade under trees,heavy JPEG compression artifacts,as if shared on Twitter with reduced resolution,,,,,,,a modern glass skyscraper reflecting clouds,"A parking lot surveillance camera footage of a modern glass skyscraper reflecting clouds, with dappled shade under trees, heavy JPEG compression artifacts, as if shared on Twitter with reduced resolution"
1239,face,low,jpeg,31,point-and-shoot digital camera photo,golden hour sunlight,color banding,,Southern European,,young,woman,stairwell,,,"A point-and-shoot digital camera photo of a young Southern European woman in stairwell, with golden hour sunlight, color banding"
1240,face,medium,webp,86,disposable camera photo,neon lighting,,,Indigenous,olive skin,young,man,rooftop with skyline,face on a screen within the image,,"A disposable camera photo of a young Indigenous man with olive skin in rooftop with skyline, with neon lighting, face on a screen within the image"
1241,nature,medium,webp,50,panoramic photo,candlelight,color banding,,,,,,,,a volcanic landscape with steam vents,"A panoramic photo of a volcanic landscape with steam vents, with candlelight, color banding"
1242,nature,high,png,100,scanned printed photograph,golden hour sunlight,,,,,,,,,a receipt or invoice on a countertop,"A scanned printed photograph of a receipt or invoice on a countertop, with golden hour sunlight"
1243,scene,medium,png,100,thermal imaging camera capture,dramatic side lighting,,as if screenshotted from TikTok,,,,,,,a beach with people,"A thermal imaging camera capture of a beach with people, with dramatic side lighting, as if screenshotted from TikTok"
1244,nature,low,webp,54,low quality compressed webcam image,candlelight,inconsistent shadows,,,,,,,,a row of parked cars on a residential street,"A low quality compressed webcam image of a row of parked cars on a residential street, with candlelight, inconsistent shadows"
1245,nature,high,jpeg,75,low quality compressed webcam image,neon lighting,digital zoom pixelation,as if forwarded on Telegram multiple times,,,,,,,a waterfall in a tropical jungle,"A low quality compressed webcam image of a waterfall in a tropical jungle, with neon lighting, digital zoom pixelation, as if forwarded on Telegram multiple times"
1246,face,high,jpeg,39,body camera footage,candlelight,inconsistent shadows,as if forwarded on Telegram multiple times,Central Asian,very light skin,middle-aged,person,dimly lit room,face mid-expression with motion blur,,"A body camera footage of a middle-aged Central Asian person with very light skin in dimly lit room, with candlelight, inconsistent shadows, face mid-expression with motion blur, as if forwarded on Telegram multiple times"
1247,face,high,jpeg,53,employee badge photo,screen-lit in a dark room,lens distortion,as if shared on WhatsApp with compression,North African,,middle-aged,person,office environment,face reflected in mirror,,"A employee badge photo of a middle-aged North African person in office environment, with screen-lit in a dark room, lens distortion, face reflected in mirror, as if shared on WhatsApp with compression"
1248,scene,high,jpeg,84,Polaroid instant photo,tungsten indoor lighting with warm cast,color banding,as if shared on WhatsApp with compression,,,,,,,a graduation ceremony audience,"A Polaroid instant photo of a graduation ceremony audience, with tungsten indoor lighting with warm cast, color banding, as if shared on WhatsApp with compression"
1249,scene,low,png,100,candid photo taken from a distance,backlit with rim lighting,,,,,,,,,children playing in a schoolyard,"A candid photo taken from a distance of children playing in a schoolyard, with backlit with rim lighting"
1250,face,low,webp,52,video still frame,blue hour twilight,digital zoom pixelation,,Northern European,light skin,elderly,person,plain studio background,face at sharp angle,,"A video still frame of a elderly Northern European person with light skin in plain studio background, with blue hour twilight, digital zoom pixelation, face at sharp angle"
1251,scene,low,png,100,mirrorless camera photo,neon lighting,lens distortion,as if shared on Twitter with reduced resolution,,,,,,,people walking through a shopping mall,"A mirrorless camera photo of people walking through a shopping mall, with neon lighting, lens distortion, as if shared on Twitter with reduced resolution"
1252,nature,high,webp,82,disposable camera photo,blue hour twilight,inconsistent shadows,,,,,,,,a table with scattered documents and a coffee cup,"A disposable camera photo of a table with scattered documents and a coffee cup, with blue hour twilight, inconsistent shadows"
1253,scene,medium,webp,75,real estate listing photo,backlit with rim lighting,color banding,,,,,,,,a courtroom during a hearing,"A real estate listing photo of a courtroom during a hearing, with backlit with rim lighting, color banding"
1254,face,medium,webp,98,candid photo taken from a distance,direct flash,inconsistent shadows,,Central Asian,,elderly,man,elevator,face reflected in mirror,,"A candid photo taken from a distance of a elderly Central Asian man in elevator, with direct flash, inconsistent shadows, face reflected in mirror"
1255,face,medium,png,100,GoPro wide-angle action shot,candlelight,color banding,,African American,,young,person,plain studio background,face at sharp angle,,"A GoPro wide-angle action shot of a young African American person in plain studio background, with candlelight, color banding, face at sharp angle"
1256,scene,high,webp,93,smartphone photo,candlelight,inconsistent shadows,as if screenshotted from TikTok,,,,,,,a video call screenshot with multiple participants,"A smartphone photo of a video call screenshot with multiple participants, with candlelight, inconsistent shadows, as if screenshotted from TikTok"
1257,face,high,png,100,black and white film photo,very low ambient light,heavy noise or grain,as if screenshotted from TikTok,North African,medium skin,young,woman,stairwell,,,"A black and white film photo of a young North African woman with medium skin in stairwell, with very low ambient light, heavy noise or grain, as if screenshotted from TikTok"
1258,face,medium,png,100,black and white film photo,screen-lit in a dark room,color banding,as if shared on WhatsApp with compression,East African,,elderly,woman,dimly lit room,,,"A black and white film photo of a elderly East African woman in dimly lit room, with screen-lit in a dark room, color banding, as if shared on WhatsApp with compression"
1259,face,high,png,100,mirrorless camera photo,candlelight,slight motion blur,,Southeast Asian,very light skin,young,woman,gym or fitness center,,,"A mirrorless camera photo of a young Southeast Asian woman with very light skin in gym or fitness center, with candlelight, slight motion blur"
